Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
186,90.12140046168625,88.91763528169754,80.20698259720781,65.09240109032864,48.17949466935359,32.56118752199384
187,90.13685991370552,88.95436243449478,80.20698259720781,65.09240109032864,48.17949466935359,32.56118752199384
188,90.15386680059753,88.99045629289145,80.46493826678164,65.09240109032864,49.48864802242771,32.56118752199384
189,90.16918263650462,89.03359437208397,80.46493826678164,66.01599559369033,49.48864802242771,32.56118752199384
190,90.1828523070858,89.06013989991673,80.7386498686158,66.01599559369033,49.48864802242771,34.453804158917656
191,90.20278500250488,89.09451154347454,80.7386498686158,66.01599559369033,49.48864802242771,34.453804158917656
192,90.22855970915018,89.12876075605055,80.96746535155263,66.71824918907946,50.968524766608006,34.453804158917656
193,90.24514800611244,89.15940109406495,80.96746535155263,66.71824918907946,50.968524766608006,34.453804158917656
194,90.25965821970618,89.19035910212033,81.22739612263696,66.71824918907946,50.968524766608006,34.453804158917656
195,90.28392281063884,89.22510535770814,81.22739612263696,67.48751367169587,50.968524766608006,36.466436741443346
196,90.29688671172177,89.26227583254625,81.4828293960999,67.48751367169587,52.42009461299936,36.466436741443346
197,90.31132801875135,89.28345300490453,81.4828293960999,67.48751367169587,52.42009461299936,36.466436741443346
198,90.32396237065889,89.30802732983571,81.70340613743251,68.21447659940384,52.42009461299936,36.466436741443346
199,90.33714423651304,89.34055730372174,81.70340613743251,68.21447659940384,52.42009461299936,36.466436741443346
200,90.35262165194582,89.37814936378368,81.94534660370702,68.21447659940384,53.78928232264549,38.46487102460975
201,90.36733394650824,89.4178638847436,81.94534660370702,68.8641625420521,53.78928232264549,38.46487102460975
202,90.38549031568384,89.44887444174928,82.16469110785182,68.8641625420521,53.78928232264549,38.46487102460975
203,90.39602537761776,89.48040331675716,82.16469110785182,68.8641625420521,53.78928232264549,38.46487102460975
204,90.42117755955475,89.50555685301235,82.38066452533366,69.53186072605752,54.90245193306693,38.46487102460975
205,90.43763660770057,89.53232961228704,82.38066452533366,69.53186072605752,54.90245193306693,40.084264800468574
206,90.45642978347259,89.56198369746743,82.62056953215215,69.53186072605752,54.90245193306693,40.084264800468574
207,90.4665539658512,89.59638824217998,82.62056953215215,70.12573550529267,54.90245193306693,40.084264800468574
208,90.47877086778553,89.63005873958599,82.81119861752134,70.12573550529267,56.029650145634044,40.084264800468574
209,90.49052917976809,89.6633126347883,82.81119861752134,70.12573550529267,56.029650145634044,40.084264800468574
210,90.50254881689318,89.69252404401566,83.01820479894538,70.77194030309852,56.029650145634044,42.14185382145379
211,90.51725667253392,89.72119075221457,83.01820479894538,70.77194030309852,56.029650145634044,42.14185382145379
212,90.533354654347,89.74569370669315,83.21769407957957,70.77194030309852,57.205958240038015,42.14185382145379
213,90.54279565924891,89.7770893363225,83.21769407957957,71.37689829089409,57.205958240038015,42.14185382145379
214,90.55400353359882,89.80222108977887,83.41393599782994,71.37689829089409,57.205958240038015,42.14185382145379
215,90.56844827156333,89.82489332252663,83.41393599782994,71.37689829089409,57.205958240038015,43.576051062194374
216,90.58646285758317,89.84882977936691,83.59845339432174,72.01596454256611,58.33557683491261,43.576051062194374
217,90.60450362830372,89.87361446001076,83.59845339432174,72.01596454256611,58.33557683491261,43.576051062194374
218,90.62102226961073,89.8993792095638,83.76833922962022,72.01596454256611,58.33557683491261,43.576051062194374
219,90.63354258667314,89.92175756025019,83.76833922962022,72.58141011514869,58.33557683491261,43.576051062194374
220,90.64706870925366,89.95028023456047,83.92561414233029,72.58141011514869,59.345471126721925,45.14696692062706
221,90.66041068737519,89.97232077180426,83.92561414233029,72.58141011514869,59.345471126721925,45.14696692062706
222,90.67981901535741,90.00641441094697,84.08329229246266,73.18437292264021,59.345471126721925,45.14696692062706
223,90.6929151582384,90.03250240349642,84.08329229246266,73.18437292264021,59.345471126721925,45.14696692062706
224,90.70080761219234,90.05263088779446,84.25608186617636,73.18437292264021,60.37695704232786,45.14696692062706
225,90.71788029800334,90.07959611476662,84.25608186617636,73.74560247349513,60.37695704232786,46.8908893849083
226,90.73769490178277,90.10115421025372,84.41548456188127,73.74560247349513,60.37695704232786,46.8908893849083
227,90.75279986294628,90.12871097825008,84.41548456188127,73.74560247349513,60.37695704232786,46.8908893849083
228,90.76965845994548,90.14740241829941,84.56899912389504,74.23023978471328,61.32895365444053,46.8908893849083
229,90.79531178827321,90.17367743047656,84.56899912389504,74.23023978471328,61.32895365444053,46.8908893849083
230,90.81551248995257,90.19569008539004,84.71959567872369,74.23023978471328,61.32895365444053,48.530587130680296
231,90.82787858113603,90.21491579508069,84.71959567872369,74.71900572973951,61.32895365444053,48.530587130680296
