Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
218,78.8164351133638,78.90234360857728,77.30276447413992,68.54245762761853,79.68253503473755,80.04703984669007,79.7958293603399
219,78.8164351133638,78.90234360857728,77.30276447413992,68.55391289767795,79.68253503473755,80.04703984669007,79.7958293603399
220,78.83138155610449,78.92208149334341,77.38069423097325,68.56832140207372,79.70133803584959,80.05864601960833,79.80469870361311
221,78.83138155610449,78.92208149334341,77.38069423097325,68.5771359580063,79.70133803584959,80.05864601960833,79.80469870361311
222,78.85165954211399,78.941714903701,77.47270953091467,68.58688502017812,79.72499499816819,80.06942488654914,79.81141336883931
223,78.85165954211399,78.941714903701,77.47270953091467,68.59397506414687,79.72499499816819,80.06942488654914,79.81141336883931
224,78.87105829102265,78.96437799447084,77.5548666992715,68.61090727887424,79.75081113769538,80.08099889994965,79.81813319909811
225,78.87105829102265,78.96437799447084,77.5548666992715,68.6243019940809,79.75081113769538,80.08099889994965,79.81813319909811
226,78.88626953613183,78.98427372377714,77.63659736505863,68.64087757675624,79.76938177708162,80.09484052630671,79.82680175784718
227,78.88626953613183,78.98427372377714,77.63659736505863,68.64938794988163,79.76938177708162,80.09484052630671,79.82680175784718
228,78.90186092923216,79.00009196310859,77.72336185050722,68.66059230262724,79.78470155366979,80.1077074873445,79.83622485242097
229,78.90186092923216,79.00009196310859,77.72336185050722,68.67261541272725,79.78470155366979,80.1077074873445,79.83622485242097
230,78.91491915874083,79.01966919160009,77.81195022670127,68.68411932086538,79.80950406653629,80.12063518723694,79.84232926483895
231,78.91491915874083,79.01966919160009,77.81195022670127,68.6869590105663,79.80950406653629,80.12063518723694,79.84232926483895
232,78.93279013444915,79.03875425804706,77.89447183269723,68.6993928203701,79.82278163426878,80.1311494488778,79.8494367852664
233,78.93279013444915,79.03875425804706,77.89447183269723,68.71623269008624,79.82278163426878,80.1311494488778,79.8494367852664
234,78.94543814048095,79.0547915176928,77.9572226404637,68.7262880325536,79.84099029765812,80.14090806702558,79.85736706270127
235,78.94543814048095,79.0547915176928,77.9572226404637,68.73557244916698,79.84099029765812,80.14090806702558,79.85736706270127
236,78.95748456842394,79.07321535711122,78.03655035985246,68.74547491937766,79.86114638268094,80.15057489964381,79.86406527236247
237,78.95748456842394,79.07321535711122,78.03655035985246,68.76225377079244,79.86114638268094,80.15057489964381,79.86406527236247
238,78.9733076826602,79.08998652593932,78.09046539941946,68.7757962374515,79.87478676303199,80.15868052930874,79.87107885981634
239,78.9733076826602,79.08998652593932,78.09046539941946,68.78849183139677,79.87478676303199,80.15868052930874,79.87107885981634
240,78.98898116179849,79.10633885510792,78.1487993736175,68.7955575787762,79.89943359593795,80.1666476898064,79.8800183899665
241,78.98898116179849,79.10633885510792,78.1487993736175,68.80750611245546,79.89943359593795,80.1666476898064,79.8800183899665
242,79.00063273291664,79.12129924170546,78.21308348316161,68.81967720349745,79.91459137783112,80.17819257697285,79.88523141245439
243,79.00063273291664,79.12129924170546,78.21308348316161,68.83315714692935,79.91459137783112,80.17819257697285,79.88523141245439
244,79.01193925746882,79.13554917785072,78.29177562598572,68.84062725020286,79.93437630372637,80.18874220728979,79.89588452707099
245,79.01193925746882,79.13554917785072,78.29177562598572,68.8503149832859,79.93437630372637,80.18874220728979,79.89588452707099
246,79.02337696638787,79.15350717773717,78.3479729367948,68.8584174812858,79.94769070549751,80.19628818810142,79.90320942722362
247,79.02337696638787,79.15350717773717,78.3479729367948,68.87123654312305,79.94769070549751,80.19628818810142,79.90320942722362
248,79.03838985532707,79.1655685806304,78.40619702968623,68.87935410580812,79.96378240085163,80.20742192595239,79.90767362478617
249,79.03838985532707,79.1655685806304,78.40619702968623,68.88920697242153,79.96378240085163,80.20742192595239,79.90767362478617
250,79.05241018235253,79.18947694810507,78.45811674052065,68.89582425152493,79.9772416098896,80.21738117926071,79.9157992404809
251,79.05241018235253,79.18947694810507,78.45811674052065,68.90297249932644,79.9772416098896,80.21738117926071,79.9157992404809
252,79.06312001373911,79.20227513258837,78.51593009491826,68.91135469325688,79.98929068420564,80.22510749792949,79.9271938230847
253,79.06312001373911,79.20227513258837,78.51593009491826,68.92220903018199,79.98929068420564,80.22510749792949,79.9271938230847
254,79.07365125283226,79.21389884699238,78.58253114134192,69.0683479560187,80.00372066155826,80.23787195615328,79.93582738995974
255,79.07365125283226,79.21389884699238,78.58253114134192,69.07851565083557,80.00372066155826,80.23787195615328,79.93582738995974
256,79.0864579257602,79.22552069232694,78.61835084291222,69.08514062363348,80.01667514102436,80.24681864661052,79.94338563025305
257,79.0864579257602,79.22552069232694,78.61835084291222,69.0927141489599,80.01667514102436,80.24681864661052,79.94338563025305
258,79.09750603889515,79.23623460168824,78.66257389558167,69.10056062418799,80.02755257472681,80.2584166073037,79.95714023467802
259,79.09750603889515,79.23623460168824,78.66257389558167,69.10845899142862,80.02755257472681,80.2584166073037,79.95714023467802
260,79.11103054219207,79.24697731544988,78.71224484608203,69.11524960641671,80.03985034199081,80.26833168934206,79.96785075270915
