Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
283,98.87005288921696,99.1383306813025,99.66417253036592,55.075455554404215,99.42775960698137,99.67557782755003,99.67718309305285
284,98.89059762974023,99.15090322559456,99.66680373084236,55.424126509659246,99.43404299620245,99.6765460607822,99.67829517492432
285,98.89059762974023,99.15090322559456,99.66680373084236,55.836197673070146,99.43404299620245,99.6765460607822,99.67829517492432
286,98.9099602510701,99.16253256178119,99.66916654067506,56.170818408475334,99.44148860712295,99.67751128816795,99.67922137657787
287,98.9099602510701,99.16253256178119,99.66916654067506,56.63274761133782,99.44148860712295,99.67751128816795,99.67922137657787
288,98.9281251698541,99.17219282445537,99.67176913067084,57.105261690145014,99.44635101781228,99.67841335201103,99.67987835626627
289,98.9281251698541,99.17219282445537,99.67176913067084,57.63203579469851,99.44635101781228,99.67841335201103,99.67987835626627
290,98.94753298119102,99.18331719910738,99.67416661728177,57.96458191074506,99.4523274851319,99.67918312432577,99.68074105712628
291,98.94753298119102,99.18331719910738,99.67416661728177,58.378824175598844,99.4523274851319,99.67918312432577,99.68074105712628
292,98.96458516591824,99.19367640745402,99.67644798069213,58.753512165798725,99.45732545107406,99.68009060028326,99.68188808602419
293,98.96458516591824,99.19367640745402,99.67644798069213,59.29667147735871,99.45732545107406,99.68009060028326,99.68188808602419
294,98.98098865344072,99.20112101652423,99.67851907177536,59.839330183657914,99.46429605347939,99.6810776438073,99.68233434802593
295,98.98098865344072,99.20112101652423,99.67851907177536,60.16342213276192,99.46429605347939,99.6810776438073,99.68233434802593
296,98.99847823364448,99.21076624059572,99.68049100191611,60.524358121121914,99.46994939368707,99.6818889421834,99.68311764451369
297,98.99847823364448,99.21076624059572,99.68049100191611,60.96336657297042,99.46994939368707,99.6818889421834,99.68311764451369
298,99.01569018410432,99.2187760824224,99.68235014168347,61.3775217260798,99.47454391962272,99.6823740055945,99.68355016956814
299,99.01569018410432,99.2187760824224,99.68235014168347,61.6492739480283,99.47454391962272,99.6823740055945,99.68355016956814
300,99.0315475566144,99.2297038152698,99.68452076421102,62.037413132846154,99.47581886929332,99.68346352120915,99.68383082766854
301,99.0315475566144,99.2297038152698,99.68452076421102,62.46219045250203,99.47581886929332,99.68346352120915,99.68383082766854
302,99.04740996611935,99.23767485372521,99.68628226253968,62.77184783553955,99.48121619660765,99.68416682676177,99.68490053968902
303,99.04740996611935,99.23767485372521,99.68628226253968,63.088082254050626,99.48121619660765,99.68416682676177,99.68490053968902
304,99.060372077186,99.24514658668839,99.68807562294813,63.44482454434661,99.48507075167863,99.68460460131115,99.6857312351189
305,99.060372077186,99.24514658668839,99.68807562294813,63.77562303306169,99.48507075167863,99.68460460131115,99.6857312351189
306,99.0753767992122,99.2538151230541,99.68978374222146,64.12101942138709,99.49098920337649,99.6852593844105,99.68671506048813
307,99.0753767992122,99.2538151230541,99.68978374222146,64.45168854327045,99.49098920337649,99.6852593844105,99.68671506048813
308,99.08851532043698,99.26180966616583,99.69130045018815,64.77902375619509,99.49227446876247,99.6857495879211,99.68745905687189
309,99.08851532043698,99.26180966616583,99.69130045018815,65.12154299233359,99.49227446876247,99.6857495879211,99.68745905687189
310,99.10207101143807,99.27087828656552,99.6928003603318,65.42129347711929,99.49487850751548,99.6864088494171,99.68808080135356
311,99.10207101143807,99.27087828656552,99.6928003603318,65.76420097034516,99.49487850751548,99.6864088494171,99.68808080135356
312,99.1150084058137,99.27700883856994,99.69404054378148,66.05951323586437,99.49866619030158,99.68696165291603,99.68861035816326
313,99.1150084058137,99.27700883856994,99.69404054378148,66.35237577788149,99.49866619030158,99.68696165291603,99.68861035816326
314,99.12811267359842,99.28551162716525,99.69551374737486,66.70173182859355,99.50245768176295,99.68744387857305,99.68937912722447
315,99.12811267359842,99.28551162716525,99.69551374737486,67.04531888743756,99.50245768176295,99.68744387857305,99.68937912722447
316,99.14048081699981,99.29476287066379,99.69684695980419,67.3348367689305,99.50504655397211,99.68802246998268,99.68994028660931
317,99.14048081699981,99.29476287066379,99.69684695980419,67.70268294926368,99.50504655397211,99.68802246998268,99.68994028660931
318,99.15149247750982,99.3011326954914,99.69794364776436,67.98338688309641,99.5077590143814,99.68805225123174,99.69043697433048
319,99.15149247750982,99.3011326954914,99.69794364776436,68.26041986191083,99.5077590143814,99.68805225123174,99.69043697433048
320,99.16251540398243,99.3081097145237,99.69919678875688,68.54591880450953,99.50795924146985,99.68871930060135,99.69100704883031
321,99.16251540398243,99.3081097145237,99.69919678875688,68.82225744215611,99.50795924146985,99.68871930060135,99.69100704883031
322,99.17338069962179,99.31616026726192,99.70044342170698,69.1657848127582,99.51139500975053,99.68945652065679,99.69113350747999
