Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
382,97.23888685279489,98.75490170561007,99.43504630346665,99.44915246957522,98.55548954429847,94.70163268317464
383,97.23866031607602,98.75443382134928,99.43504630346665,99.44915246957522,98.55548954429847,94.70163268317464
384,97.23935057727748,98.75469633422156,99.43572104357938,99.4600164278982,98.64438954939457,94.70163268317464
385,97.23549269784823,98.75481715317456,99.43572104357938,99.4600164278982,98.64438954939457,95.08372970258367
386,97.23196238120727,98.75493350786499,99.43647542889249,99.4600164278982,98.64438954939457,95.08372970258367
387,97.23433818036146,98.75458252653334,99.43647542889249,99.4703097110822,98.64438954939457,95.08372970258367
388,97.2306052331733,98.75473523240527,99.43713676330107,99.4703097110822,98.72377794544421,95.08372970258367
389,97.23162484919685,98.75518040605986,99.43713676330107,99.4703097110822,98.72377794544421,95.08372970258367
390,97.23094622494136,98.75443755591525,99.4379787600364,99.48000220606365,98.72377794544421,95.44744012011134
391,97.23054030830943,98.7545237793597,99.4379787600364,99.48000220606365,98.72377794544421,95.44744012011134
392,97.2324897956978,98.75458123427087,99.43887033587455,99.48000220606365,98.79553780842342,95.44744012011134
393,97.23257191237754,98.75453870026968,99.43887033587455,99.48947413469101,98.79553780842342,95.44744012011134
394,97.2321630508763,98.7550121709182,99.43944730179473,99.48947413469101,98.79553780842342,95.44744012011134
395,97.2328730907471,98.75479888325386,99.43944730179473,99.48947413469101,98.79553780842342,95.77688871678271
396,97.22802333078248,98.75473591868419,99.43982273781066,99.49817822050358,98.86137141035354,95.77688871678271
397,97.22906533476258,98.75465807755384,99.43982273781066,99.49817822050358,98.86137141035354,95.77688871678271
398,97.22840769074821,98.75417023952221,99.44032156361507,99.49817822050358,98.86137141035354,95.77688871678271
399,97.22767538475402,98.75409774027247,99.44032156361507,99.50664183554795,98.86137141035354,95.77688871678271
400,97.22772168731262,98.75461449022782,99.44092121792801,99.50664183554795,98.92076161788786,96.0803506089752
401,97.2275068765601,98.75523610782793,99.44092121792801,99.50664183554795,98.92076161788786,96.0803506089752
402,97.22620648434452,98.75584321620977,99.44142871077472,99.51504694225457,98.92076161788786,96.0803506089752
403,97.22644437991214,98.75587901394414,99.44142871077472,99.51504694225457,98.92076161788786,96.0803506089752
404,97.22459131955488,98.75590485511509,99.44177605697968,99.51504694225457,98.97579704180039,96.0803506089752
405,97.22676421527878,98.75571170345206,99.44177605697968,99.52273774482397,98.97579704180039,96.36138411546197
406,97.22629239994436,98.75586109140664,99.44217782129866,99.52273774482397,98.97579704180039,96.36138411546197
407,97.22644707036949,98.75606425602396,99.44217782129866,99.52273774482397,98.97579704180039,96.36138411546197
408,97.22808995416024,98.75597203694117,99.4426649845057,99.52976606923093,99.02693989153852,96.36138411546197
409,97.22951709977227,98.75620238424469,99.4426649845057,99.52976606923093,99.02693989153852,96.36138411546197
410,97.22595806942374,98.75547722375958,99.44294357816614,99.52976606923093,99.02693989153852,96.62125411943245
411,97.22661143028883,98.755492061455,99.44294357816614,99.53701806888336,99.02693989153852,96.62125411943245
412,97.22643530668253,98.756156132837,99.44327145297527,99.53701806888336,99.07390540027214,96.62125411943245
413,97.22460199832926,98.75615492048928,99.44327145297527,99.53701806888336,99.07390540027214,96.62125411943245
414,97.22402624473932,98.75650536108218,99.44378742817075,99.54364542835883,99.07390540027214,96.62125411943245
415,97.22291678364975,98.75591503143781,99.44378742817075,99.54364542835883,99.07390540027214,96.85735719874121
416,97.22430228950623,98.75625846292117,99.4441542579614,99.54364542835883,99.11770927605798,96.85735719874121
417,97.22468750819958,98.75590448550696,99.4441542579614,99.54996283374923,99.11770927605798,96.85735719874121
418,97.22530610807955,98.75628027004907,99.44463271864744,99.54996283374923,99.11770927605798,96.85735719874121
419,97.22430741990469,98.75534020334578,99.44463271864744,99.54996283374923,99.11770927605798,96.85735719874121
420,97.22475596843694,98.75546481978452,99.44501034134836,99.55582784334861,99.15754129180617,97.08115339189742
421,97.22443715732966,98.75515282752227,99.44501034134836,99.55582784334861,99.15754129180617,97.08115339189742
422,97.22416825851082,98.75527463258801,99.4452825856519,99.55582784334861,99.15754129180617,97.08115339189742
423,97.22596115027454,98.75546792011295,99.4452825856519,99.56134055959096,99.15754129180617,97.08115339189742
424,97.22642680491631,98.7553911290322,99.44573201157105,99.56134055959096,99.19506515736688,97.08115339189742
425,97.22544410493948,98.75571999181925,99.44573201157105,99.56134055959096,99.19506515736688,97.28850844404676
426,97.22249705237742,98.75559030585562,99.44594757046444,99.56675717156068,99.19506515736688,97.28850844404676
427,97.22287938146054,98.75600643069745,99.44594757046444,99.56675717156068,99.19506515736688,97.28850844404676
428,97.22263746673272,98.7561246761872,99.44632645181457,99.56675717156068,99.22945164846806,97.28850844404676
429,97.2243408792802,98.75555513911654,99.44632645181457,99.5719427117262,99.22945164846806,97.28850844404676
430,97.22447255910711,98.7555282066403,99.44644699027464,99.5719427117262,99.22945164846806,97.47752621399977
431,97.22466243599655,98.75596734962765,99.44644699027464,99.5719427117262,99.22945164846806,97.47752621399977
432,97.22431835865137,98.75559499487846,99.44682347787476,99.57671820695364,99.26149083482234,97.47752621399977
433,97.22439631786162,98.75560498134834,99.44682347787476,99.57671820695364,99.26149083482234,97.47752621399977
434,97.22530251813664,98.75542587746119,99.44711272196257,99.57671820695364,99.26149083482234,97.47752621399977
435,97.22576204569702,98.75495109157106,99.44711272196257,99.58117615713795,99.26149083482234,97.65489026953219
436,97.22231717922146,98.75501826989515,99.44768390781174,99.58117615713795,99.29124776878315,97.65489026953219
437,97.2242698156435,98.75473499200498,99.44768390781174,99.58117615713795,99.29124776878315,97.65489026953219
438,97.22379720548727,98.75489992046754,99.4479279562983,99.58560931179935,99.29124776878315,97.65489026953219
439,97.22210602587228,98.75470334450388,99.4479279562983,99.58560931179935,99.29124776878315,97.65489026953219
440,97.22473476959955,98.75533413522909,99.4482249046245,99.58560931179935,99.32030628991778,97.81684736051258
441,97.22467897585658,98.75536862932188,99.4482249046245,99.5898892458604,99.32030628991778,97.81684736051258
442,97.22246463238055,98.75543380558487,99.4485437381514,99.5898892458604,99.32030628991778,97.81684736051258
443,97.22281080855154,98.75479599671952,99.4485437381514,99.5898892458604,99.32030628991778,97.81684736051258
444,97.22392643479024,98.75459729501316,99.44860531976862,99.59384094711744,99.34622860804357,97.81684736051258
445,97.22432384545567,98.75465148569342,99.44860531976862,99.59384094711744,99.34622860804357,97.97027663366106
446,97.2233588822264,98.7545060572128,99.44891098277655,99.59384094711744,99.34622860804357,97.97027663366106
447,97.2218412073736,98.75459208207846,99.44891098277655,99.59783786145452,99.34622860804357,97.97027663366106
448,97.22274548795262,98.75430793791148,99.44897871889997,99.59783786145452,99.37097063144793,97.97027663366106
449,97.22275397485761,98.7546011739303,99.44897871889997,99.59783786145452,99.37097063144793,97.97027663366106
450,97.22484580506459,98.7547129448139,99.4491054602842,99.60161506974642,99.37097063144793,98.1132952635284
451,97.22639107695827,98.75464878722259,99.4491054602842,99.60161506974642,99.37097063144793,98.1132952635284
452,97.22493590047735,98.75474677864061,99.44921281463077,99.60161506974642,99.39359767128131,98.1132952635284
453,97.22484862997892,98.75532960268526,99.44921281463077,99.60507036511629,99.39359767128131,98.1132952635284
454,97.2269609936428,98.75532832585836,99.449376620142,99.60507036511629,99.39359767128131,98.1132952635284
455,97.22559619628653,98.75612591149101,99.449376620142,99.60507036511629,99.39359767128131,98.24467310223173
456,97.2253920418164,98.75589572418019,99.44967455051508,99.60845276591162,99.41518348913625,98.24467310223173
457,97.2237122443862,98.7562664400319,99.44967455051508,99.60845276591162,99.41518348913625,98.24467310223173
458,97.22115722323582,98.75625328593993,99.44981484366262,99.60845276591162,99.41518348913625,98.24467310223173
459,97.22217137382695,98.75606813222235,99.44981484366262,99.61178132533313,99.41518348913625,98.24467310223173
460,97.22463232774587,98.75590537636243,99.44997204829313,99.61178132533313,99.43568702488237,98.36836335169787
461,97.22496033385835,98.75574917788867,99.44997204829313,99.61178132533313,99.43568702488237,98.36836335169787
462,97.22552208642426,98.75605927300825,99.45002325431936,99.61490005550304,99.43568702488237,98.36836335169787
463,97.2262863718857,98.75561777497876,99.45002325431936,99.61490005550304,99.43568702488237,98.36836335169787
464,97.22581479967094,98.75557109559499,99.45028723635912,99.61490005550304,99.45445111811965,98.36836335169787
